"","United Arab Emirates","Argentina","Australia","Austria","Belgium","Bulgaria","Bahrain","Bosnia and Herzegovina","Brazil","Canada","Switzerland","Chile","China","Colombia","Czech Republic","Germany","Developing Countries","Denmark","Egypt, Arab Rep.","Spain","Estonia","Finland","France","United Kingdom","Greece","High Income Countries","Hong Kong SAR, China","Croatia","Hungary","Indonesia","India","Ireland","Iran, Islamic Rep.","Iceland","Israel","Italy","Jordan","Japan","Kazakhstan","Kenya","Korea, Rep.","Latin America & Caribbean developing","Lebanon","Sri Lanka","Lithuania","Luxembourg","Latvia","Morocco","Mexico","North Macedonia","Malta","Malawi","Malaysia","Nigeria","Netherlands","Norway","New Zealand","Oman","Pakistan","Peru","Philippines","Poland","Portugal","Qatar","Romania","Russian Federation","Saudi Arabia","Singapore","Slovakia","Slovenia","Sweden","Thailand","Tunisia","Turkey","Taiwan, China","Uganda","Ukraine","United States","Venezuela, RB","Vietnam","South Africa"
"2010","96.59922","108.5644","97.02012","91.50184","94.37587","84.26382","98.01953","81.61775","99.2823","104.9392","98.30098","112.1928","90.21031","119.1704","95.30182","98.12949","101.9427","103.2175","91.41751","82.18726","112.9353","97.28323","90.37509","97.39671","74.7086","98.80579","100.2709","86.99401","92.41409","119.43","105.9594","89.06729","129.5792","115.1129","101.1327","84.89487","93.30588","97.48999","87.32416","116.2825","92.73751","100.8161","97.81978","143.6934","109.1577","87.66796","106.412","102.9665","105.7133","82.89929","87.39367","93.66453","111.8819","112.032","92.70234","96.1241","95.07318","100.4684","98.9572","109.4174","118.6086","96.95003","84.29924","109.0866","94.5285","97.49895","101.5258","106.3509","88.07543","82.29064","106.8673","122.0467","102.3657","107.0146","99.2491","115.7596","130.7666","101.8295","NA","93.68671","105.4832"
"2011","87.98379","132.4881","106.1803","92.73847","93.90413","88.36709","92.56345","90.09414","95.41187","117.5075","107.4522","123.26","88.90344","127.7168","97.9266","109.9597","107.3058","109.3366","69.92992","77.78817","132.7764","96.14547","93.00097","105.8625","53.526","107.0091","99.78818","93.71691","88.14483","150.6033","101.9729","88.91233","197.1995","125.5865","105.2069","78.95322","87.67038","101.0007","79.85586","94.0808","95.73031","101.5315","88.14719","202.5058","127.3707","80.40608","126.224","108.0064","116.2741","84.65745","86.62977","90.73288","128.9197","103.8089","95.21514","113.078","105.1331","95.45776","108.907","141.2087","146.2255","102.8226","79.3588","129.6494","97.89782","118.0157","101.1858","115.4592","93.22714","70.36655","120.2722","153.1229","93.11287","98.75177","109.7728","105.2024","137.7047","114.2784","NA","77.90584","117.9865"
"2012","91.33702","106.3321","101.5253","72.82167","81.94432","65.31064","85.92896","74.85001","79.69418","108.4327","106.5533","118.8734","75.88277","135.3229","75.30937","105.4048","99.91595","108.5355","60.91725","56.79598","119.3624","76.05185","81.09097","105.8537","30.11261","108.0415","95.71301","71.16545","68.40286","154.8815","88.0078","93.95274","191.6635","123.7685","90.9754","58.9138","81.41676","97.41373","56.47758","95.43311","94.88921","92.20225","80.81692","136.7022","105.7455","61.54265","109.855","87.37977","121.1643","61.30437","73.39372","71.37767","135.8791","100.2804","86.23786","114.0938","109.4007","94.38301","109.6398","152.5399","185.6895","82.54257","55.64637","134.8063","80.30836","94.01185","110.6991","116.1283","74.28413","50.71342","113.8653","176.8502","92.22493","95.75315","99.47078","104.3092","68.87871","123.8352","NA","72.58499","115.2488"
"2013","140.1489","169.7215","110.3695","87.86638","99.49884","92.13893","NA","80.16827","65.04357","110.7815","133.759","110.0166","76.92216","125.9237","77.16853","131.9445","101.5714","134.394","53.88323","67.09534","158.3232","91.38454","99.45269","119.9002","43.73559","126.9818","105.6464","77.94592","71.05252","156.7602","89.85271","123.2218","269.818","147.3822","105.9896","68.94753","79.94206","118.2051","49.38934","121.2579","103.0739","85.46736","NA","148.7367","130.4132","61.6583","127.693","78.10486","131.8083","57.58657","84.03012","64.77722","144.7337","153.914","101.2107","130.9858","132.4251","NA","133.1425","122.7326","230.8394","89.80815","66.60546","NA","98.38727","88.16642","121.1089","125.6608","74.40092","57.79412","138.4002","216.7151","82.46315","111.2397","107.098","147.8734","49.98948","143.2464","NA","85.69354","116.7306"
"2014","263.1936","343.9658","109.9799","86.04282","115.0566","120.3114","NA","75.66692","58.23241","118.6221","148.0156","89.89111","77.91077","113.6002","74.04881","151.4601","101.6683","173.8438","72.21009","81.25408","153.2186","106.1649","110.6198","131.7508","50.37512","143.8164","108.5572","74.80623","65.80507","146.5118","107.5535","147.7988","253.2858","156.7337","121.1387","82.24002","79.81117","124.7886","47.88927","124.2988","110.2061","78.0471","NA","164.4282","148.9005","68.24495","129.0318","83.9309","128.2784","58.09966","84.84047","91.26972","147.1386","163.1029","112.3834","143.5132","146.8076","NA","164.1805","105.3792","231.4034","89.90379","70.75579","NA","115.2277","62.95364","153.117","124.6011","82.29308","71.11062","152.086","204.1216","80.39074","92.98892","116.4903","161.8152","44.26007","160.1912","NA","100.5182","122.2054"
"2015","219.1621","472.5239","93.21922","72.52466","111.5402","85.39854","NA","62.52533","39.60444","100.6205","146.8419","79.1289","126.9713","62.1633","62.87019","145.4277","92.68739","181.0654","58.05098","68.76964","139.968","100.1083","103.5728","122.8234","26.81019","146.0026","113.8029","60.65585","64.03017","130.3587","113.5945","157.9049","191.5662","179.1843","122.2028","74.69087","74.11171","135.2824","31.92616","104.2259","126.5161","57.24431","NA","170.2277","132.6494","54.22413","117.6261","73.28702","111.0282","48.58912","82.56722","90.04976","116.7224","106.6385","108.0963","117.3098","133.3104","NA","168.7859","71.87237","247.2937","69.56383","50.85087","NA","103.215","28.53856","135.0274","113.9335","84.44746","57.61478","143.6675","194.6593","79.91185","80.7754","111.4816","150.8261","20.77796","167.9898","0.001783","97.24818","110.1394"
"2016","195.6308","616.5485","89.60355","68.32895","106.3788","85.12999","NA","50.62071","40.12143","94.99257","128.7118","78.89044","97.05083","50.67178","55.94544","134.6403","84.11306","179.5502","39.69002","55.76593","158.9286","96.23343","95.29869","106.7394","20.9174","141.307","100.0209","62.22954","81.86314","133.9626","104.4545","155.6852","204.2318","226.3292","111.9738","58.49919","72.15786","133.0041","24.89385","77.21732","122.88","53.50424","NA","141.8291","141.6177","47.28438","161.1867","74.23388","97.75275","52.58834","92.68","53.53767","105.0497","73.2856","101.9962","109.2491","149.158","NA","168.6221","75.85138","232.0511","53.75482","43.49886","NA","94.04098","27.12839","100.4286","99.32918","102.395","54.49033","134.8611","184.3359","73.80748","69.23653","106.7645","122.9416","12.11107","171.0216","0.001773","102.5906","94.5376"
"2017","207.0425","968.5874","101.1005","94.53688","121.9099","121.757","NA","41.3789","55.3773","107.2892","142.9711","101.4406","103.5187","NA","67.32765","168.181","103.7232","201.4911","39.67518","67.02253","193.7333","113.4551","115.0333","116.3973","27.56812","163.9267","121.8124","70.12637","111.1472","151.8761","126.4495","175.7238","188.878","249.026","122.569","72.37101","73.43","153.9811","42.4698","72.86841","124.7927","66.02868","NA","136.503","169.4292","55.41605","227.9377","92.43229","104.2928","68.75823","97.8105","66.49661","106.3284","64.7714","123.0509","136.0756","162.1864","NA","187.4068","99.73576","235.3248","72.58855","47.88801","NA","113.0859","37.11262","112.2078","114.3557","105.4815","61.89798","156.8565","216.3037","71.41745","73.42593","131.7305","113.4546","13.95584","207.6346","0.030363","125.9401","110.7594"
"2018","174.0329","1297.666","102.7064","105.9474","124.2088","123.1794","NA","33.95961","58.52278","108.6825","143.8602","113.3445","96.32896","NA","77.8511","173.1558","109.2122","214.9629","52.30187","65.8654","215.1149","122.7762","123.4375","120.9801","29.10773","177.7095","133.5374","69.14341","118.8969","151.7503","137.8298","179.4234","234.2324","240.7842","133.1448","77.22475","72.55747","172.8227","53.55016","71.58902","156.3509","66.72327","NA","124.9245","198.514","57.57428","264.8661","94.78011","98.50695","93.76196","97.14162","109.9549","115.7705","70.7425","133.7875","165.2781","174.6732","NA","142.457","116.1694","222.4558","74.48262","52.68328","NA","121.6014","36.66968","125.1065","120.2008","115.8984","69.29986","155.4991","242.222","82.19675","59.65991","138.85","133.8815","22.25398","239.1862","0.030264","161.7588","115.7001"
"2019","154.8465","1436.154","99.12855","92.80764","112.9836","105.6522","NA","32.5634","64.70622","107.0613","146.7079","104.9448","92.3203","NA","72.1985","156.6555","106.0574","206.2857","46.35719","60.15212","203.8137","114.5132","115.4019","114.7967","26.07828","177.0398","132.2507","65.27418","124.1079","160.0958","141.7811","158.2661","NA","237.1692","134.5811","70.69188","67.63403","164.7129","48.98915","62.21564","136.9373","68.48999","NA","103.5714","182.794","45.96147","249.4243","85.66","91.13802","103.922","97.05483","109.2474","105.9823","57.89128","127.4","156.7736","181.935","NA","107.0675","116.984","228.473","71.51463","48.64455","NA","107.3094","36.20725","138.3956","116.8719","114.8482","67.33622","148.4786","235.0971","68.17453","47.26769","133.0262","118.3593","26.98352","244.2453","NA","152.0639","107.0384"
